Station_Latitude,Station_Longitude,StationCode
38.22624,-122.0375,PT3
38.1834,-121.92578,NS2
38.1834,-121.92578,NS2
38.12666,-122.08138,SU4
38.15037,-121.91672,MZN3
38.1928,-121.92933,NS1
38.15037,-121.91672,MZN3
38.15037,-121.91672,MZN3
38.12666,-122.08138,SU4
38.19664,-122.02909,SB2
38.21111,-122.04446,BY3
38.1324,-122.08669,GY3
38.20285,-121.90782,DV2
38.21111,-122.04446,BY3
38.21111,-122.04446,BY3
38.2219,-122.04823,PT1
NA,NA,MZN2
NA,NA,MZN2
38.12666,-122.08138,SU4
38.1324,-122.08669,GY3
38.21148,-122.0544,BY1
38.21148,-122.0544,BY1
38.18061,-122.04837,SUVOL
38.18061,-122.04837,SUVOL
38.18061,-122.04837,SUVOL
38.18061,-122.04837,SUVOL
NA,NA,FH1
NA,NA,FH1
NA,NA,FH1
38.2133,-122.04677,BY2
38.19284,-122.02657,CO1
38.15037,-121.91672,MZN3
38.1324,-122.08669,GY3
38.19284,-122.02657,CO1
38.10773,-122.09794,GY2
38.22188,-122.04359,PT2
38.22188,-122.04359,PT2
38.22188,-122.04359,PT2
NA,NA,MZN1
NA,NA,MZN1
NA,NA,HL2
NA,NA,HL2
NA,NA,HL2
38.0934,-121.88641,MZ1
38.20285,-121.90782,DV2
38.20285,-121.90782,DV2
38.19863,-121.91557,DV3
38.21111,-122.04446,BY3
38.19837,-122.04338,SU2
38.18436,-122.01355,GR4
NA,NA,SD2
38.1889,-122.02073,CO2
38.16276,-121.92929,MZ6
38.18061,-122.04837,SUVOL
NA,NA,CHA2
NA,NA,CHA2
NA,NA,CHA2
38.10993,-121.89015,MZ2
38.20948,-122.03473,SU1B
38.2133,-122.04677,BY2
38.16276,-121.92929,MZ6
38.0934,-121.88641,MZ1
38.20285,-121.90782,DV2
NA,NA,CHA1
NA,NA,CHA1
38.22188,-122.04359,PT2
38.10212,-122.09425,GY1
38.18061,-122.04837,SUVOL
NA,NA,CRD3
38.2133,-122.04677,BY2
38.16276,-121.92929,MZ6
38.13945,-122.07303,SU3
38.21787,-122.03096,SU1
38.20707,-121.91034,DV1
NA,NA,HL2
NA,NA,HL2
NA,NA,CRD2
38.1324,-122.08669,GY3
NA,NA,CRD1
38.2029,-122.0288,SB0_5
38.0934,-121.88641,MZ1
38.0934,-121.88641,MZ1
38.21787,-122.03096,SU1
38.2013,-122.03071,SB1
38.17239,-121.9287,NS3
38.17239,-121.9287,NS3
38.10773,-122.09794,GY2
NA,NA,CRD4
38.15037,-121.91672,MZN3
38.18904,-122.01182,GR3
38.18904,-122.01182,GR3
38.10993,-121.89015,MZ2
NA,NA,SD2
NA,NA,SD2
38.20948,-122.03473,SU1B
38.1889,-122.02073,CO2
38.10212,-122.09425,GY1
38.15037,-121.91672,MZN3
38.13945,-122.07303,SU3
38.19664,-122.02909,SB2
NA,NA,MZN1
NA,NA,MZN1
